,Date,Open,High,Low,Close,Adj Close,Volume
2760,2019-01-02,10868.849609375,10895.349609375,10735.0498046875,10792.5,10792.5,309700
2761,2019-01-03,10796.7998046875,10814.0498046875,10661.25,10672.25,10672.25,286200
2762,2019-01-04,10699.7001953125,10741.0498046875,10628.650390625,10727.349609375,10727.349609375,296600
2763,2019-01-07,10804.849609375,10835.9501953125,10750.150390625,10771.7998046875,10771.7998046875,269400
2764,2019-01-08,10786.25,10818.4501953125,10733.25,10802.150390625,10802.150390625,277700
2765,2019-01-09,10862.400390625,10870.400390625,10749.400390625,10855.150390625,10855.150390625,333000
2766,2019-01-10,10859.349609375,10859.349609375,10801.7998046875,10821.599609375,10821.599609375,254400
2767,2019-01-11,10834.75,10850.150390625,10739.400390625,10794.9501953125,10794.9501953125,260800
2768,2019-01-14,10807.0,10808.0,10692.349609375,10737.599609375,10737.599609375,298800
2769,2019-01-15,10777.5498046875,10896.9501953125,10777.5498046875,10886.7998046875,10886.7998046875,310700
2770,2019-01-16,10899.650390625,10928.150390625,10876.900390625,10890.2998046875,10890.2998046875,276500
2771,2019-01-17,10920.849609375,10930.650390625,10844.650390625,10905.2001953125,10905.2001953125,271700
2772,2019-01-18,10914.849609375,10928.2001953125,10852.2001953125,10906.9501953125,10906.9501953125,323800
2773,2019-01-21,10919.349609375,10987.4501953125,10885.75,10961.849609375,10961.849609375,288800
2774,2019-01-22,10949.7998046875,10949.7998046875,10864.150390625,10922.75,10922.75,300800
2775,2019-01-23,10931.0498046875,10944.7998046875,10811.9501953125,10831.5,10831.5,298900
2776,2019-01-24,10844.0498046875,10866.599609375,10798.650390625,10849.7998046875,10849.7998046875,361100
2777,2019-01-25,10859.75,10931.7001953125,10756.4501953125,10780.5498046875,10780.5498046875,463400
2778,2019-01-28,10792.4501953125,10804.4501953125,10630.9501953125,10661.5498046875,10661.5498046875,419700
2779,2019-01-29,10653.7001953125,10690.349609375,10583.650390625,10652.2001953125,10652.2001953125,356900
2780,2019-01-30,10702.25,10710.2001953125,10612.849609375,10651.7998046875,10651.7998046875,410100
2781,2019-01-31,10690.5498046875,10838.0498046875,10678.5498046875,10830.9501953125,10830.9501953125,604800
2782,2019-02-01,10851.349609375,10983.4501953125,10813.4501953125,10893.650390625,10893.650390625,482300
2783,2019-02-04,10876.75,10927.900390625,10814.150390625,10912.25,10912.25,318300
2784,2019-02-05,10908.650390625,10956.7001953125,10886.7001953125,10934.349609375,10934.349609375,268100
2785,2019-02-06,10965.099609375,11072.599609375,10962.7001953125,11062.4501953125,11062.4501953125,298500
2786,2019-02-07,11070.4501953125,11118.099609375,11043.599609375,11069.400390625,11069.400390625,263500
2787,2019-02-08,11023.5,11041.2001953125,10925.4501953125,10943.599609375,10943.599609375,352800
2788,2019-02-11,10930.900390625,10930.900390625,10857.099609375,10888.7998046875,10888.7998046875,286000
2789,2019-02-12,10879.7001953125,10910.900390625,10823.7998046875,10831.400390625,10831.400390625,292300
2790,2019-02-14,10786.099609375,10792.7001953125,10718.75,10746.0498046875,10746.0498046875,627000
2791,2019-02-15,10780.25,10785.75,10620.400390625,10724.400390625,10724.400390625,521900
2792,2019-02-18,10738.650390625,10759.900390625,10628.400390625,10640.9501953125,10640.9501953125,345400
2793,2019-02-19,10636.7001953125,10722.849609375,10585.650390625,10604.349609375,10604.349609375,291500
2794,2019-02-20,10655.4501953125,10752.7001953125,10646.400390625,10735.4501953125,10735.4501953125,289200
2795,2019-02-21,10744.099609375,10808.849609375,10721.5,10789.849609375,10789.849609375,279600
2796,2019-02-22,10782.7001953125,10801.5498046875,10758.400390625,10791.650390625,10791.650390625,396800
2797,2019-02-25,10813.25,10887.099609375,10788.0498046875,10880.099609375,10880.099609375,385900
2798,2019-02-26,10775.2998046875,10888.75,10729.2998046875,10835.2998046875,10835.2998046875,415000
2799,2019-02-27,10881.2001953125,10939.7001953125,10751.2001953125,10806.650390625,10806.650390625,381100
2800,2019-02-28,10865.7001953125,10865.7001953125,10784.849609375,10792.5,10792.5,644200
2801,2019-03-01,10842.650390625,10877.900390625,10823.099609375,10863.5,10863.5,308500
2802,2019-03-05,10864.849609375,10994.900390625,10817.0,10987.4501953125,10987.4501953125,373200
2803,2019-03-06,11024.849609375,11062.2998046875,10998.849609375,11053.0,11053.0,372600
2804,2019-03-07,11077.9501953125,11089.0498046875,11027.099609375,11058.2001953125,11058.2001953125,321200
2805,2019-03-08,11038.849609375,11049.0,11008.9501953125,11035.400390625,11035.400390625,326600
2806,2019-03-11,11068.75,11180.900390625,11059.849609375,11168.0498046875,11168.0498046875,352200
2807,2019-03-12,11231.349609375,11320.400390625,11227.0,11301.2001953125,11301.2001953125,391300
